Load ID, Loan Grad, Exception IDs
9742242.06, 8, 2|3
9589172.7, 0, 
2295748.01, 17, 1|2|3
5189695.46, 0, 
5524296.62, 4, 1
7233846.54, 7, 1|2
2521479.14, 4, 1
8149554.84, 4, 1
2675878.06, 1, 2
2788354.49, 0, 
3091926.49, 4, 1
5275822.9, 0, 
1464834.79, 6, 1|3
1237247.4, 5, 1|2
7677371.67, 0, 
9997849.31, 6, 3
4019356.26, 6, 1|3
2808796.97, 4, 1
8205093.03, 3, 2
7026885.89, 0, 
9509971.44, 6, 1|2
7535730.54, 6, 1|3
3960861.59, 17, 1|2|3
2368825.94, 2, 3
9331526.91, 8, 3
3652935.5, 2, 3
4161765.54, 0, 3
159907.82, 4, 1
540503.57, 10, 3
5629164.49, 3, 2
2617818.23, 8, 3
1574873.93, 4, 3
95512.65, 8, 3
9264785.21, 8, 1|3
4237328.32, 2, 3
3969340.45, 6, 3
7515699.76, 4, 1|3
7241766.08, 0, 
699657.93, 6, 3
2414480.55, 4, 1|3
8551549.88, 8, 3
5102100.44, 4, 1
2244619.06, 0, 
6541910.78, 14, 1|3
6090222.11, 0, 
1637949.85, 17, 1|2|3
3729892.89, 4, 1
2208906.2, 10, 3
9658980.19, 10, 3
5402398.49, 4, 1
9094163.22, 6, 3
7414802.35, 8, 1|3
1479186.88, 4, 1
3136204.47, 6, 1|3
3343978.56, 60, 3|4
8296702.21, 0, 3
7680024.06, 4, 1
6771396.68, 4, 1
6697636.73, 1, 2
2766792.25, 4, 3
4974272.27, 14, 1|3
9560057.88, 90, 3|4
4637186.48, 2, 3
5118159.65, 0, 3
9702107.13, 12, 1|3
6277323.5, 6, 1|3
341384.99, 6, 1|3
6736253.33, 12, 1|3
9625358.94, 4, 1
8881067.03, 4, 3
5454163.0, 4, 1
9688300.39, 8, 1|3
1149973.89, 0, 
6812.54, 4, 1
7461360.65, 4, 1
4173403.45, 8, 1|3
9081139.84, 0, 
8110367.61, 4, 1
6343367.69, 4, 1
3702931.35, 10, 3
6313559.94, 12, 1|3
8227186.15, 4, 1
892668.92, 0, 3
6306929.38, 0, 
6218502.14, 5, 2|3
9366970.23, 0, 
5344563.0, 10, 3
7958621.77, 8, 1|3
479083.27, 8, 3
86924.92, 4, 1
2898961.85, 5, 1|2|3
4775770.37, 4, 1
3144661.24, 4, 1|3
1806573.03, 0, 3
